DisplayMFL,DisplayFacilityName,DisplaySubcounty,DisplayCounty,DisplayMechanism,DisplayAgency,UploadStatus,UploadDate,Upload_monthYear,SiteCode,MPI_SiteCode,UploadDate_MPI,Upload_monthYear_MPI
10655,Lari Hospital,Lari,KIAMBU,UON CRISSP PLUS,CDC,Only Care & Treatment Uploaded,04/26/2021,Apr-21,10655,NULL,NULL,NULL
10655,Lari Hospital,Lari,KIAMBU,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,09/07/2020,Sep-20,10655,10655,09/07/2020,Sep-20
10655,Lari Hospital,Lari,KIAMBU,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,05/06/2021,May-21,10655,10655,05/06/2021,May-21
10657,Leshau Pondo Health Centre,Ndaragwa,NYANDARUA,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,02/04/2021,Feb-21,10657,10657,02/04/2021,Feb-21
10657,Leshau Pondo Health Centre,Ndaragwa,NYANDARUA,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,09/30/2020,Sep-20,10657,NULL,NULL,NULL
10657,Leshau Pondo Health Centre,Ndaragwa,NYANDARUA,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,06/10/2020,Jun-20,10657,NULL,NULL,NULL
10657,Leshau Pondo Health Centre,Ndaragwa,NYANDARUA,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,12/15/2020,Dec-20,10657,10657,12/15/2020,Dec-20
10657,Leshau Pondo Health Centre,Ndaragwa,NYANDARUA,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,03/04/2021,Mar-21,10657,10657,03/04/2021,Mar-21
10657,Leshau Pondo Health Centre,Ndaragwa,NYANDARUA,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,05/05/2021,May-21,10657,10657,05/05/2021,May-21
10657,Leshau Pondo Health Centre,Ndaragwa,NYANDARUA,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/04/2021,Jun-21,10657,10657,06/04/2021,Jun-21
10657,Leshau Pondo Health Centre,Ndaragwa,NYANDARUA,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,11/04/2020,Nov-20,10657,NULL,NULL,NULL
10657,Leshau Pondo Health Centre,Ndaragwa,NYANDARUA,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,04/05/2021,Apr-21,10657,NULL,NULL,NULL
10657,Leshau Pondo Health Centre,Ndaragwa,NYANDARUA,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,01/06/2021,Jan-21,10657,10657,01/06/2021,Jan-21
10657,Leshau Pondo Health Centre,Ndaragwa,NYANDARUA,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,08/05/2020,Aug-20,10657,NULL,NULL,NULL
10657,Leshau Pondo Health Centre,Ndaragwa,NYANDARUA,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,07/06/2020,Jul-20,10657,NULL,NULL,NULL
10661,Limuru Health Centre,Limuru,KIAMBU,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/26/2020,Jun-20,10661,10661,06/26/2020,Jun-20
10661,Limuru Health Centre,Limuru,KIAMBU,UON CRISSP PLUS,CDC,Only Care & Treatment Uploaded,04/30/2021,Apr-21,10661,NULL,NULL,NULL
10661,Limuru Health Centre,Limuru,KIAMBU,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,08/07/2020,Aug-20,10661,10661,08/07/2020,Aug-20
10661,Limuru Health Centre,Limuru,KIAMBU,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,09/28/2020,Sep-20,10661,10661,09/28/2020,Sep-20
10661,Limuru Health Centre,Limuru,KIAMBU,UON CRISSP PLUS,CDC,Only Care & Treatment Uploaded,05/13/2021,May-21,10661,NULL,NULL,NULL
10661,Limuru Health Centre,Limuru,KIAMBU,UON CRISSP PLUS,CDC,Only Care & Treatment Uploaded,01/13/2021,Jan-21,10661,NULL,NULL,NULL
10661,Limuru Health Centre,Limuru,KIAMBU,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,12/10/2020,Dec-20,10661,10661,12/10/2020,Dec-20
10661,Limuru Health Centre,Limuru,KIAMBU,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,11/24/2020,Nov-20,10661,10661,11/24/2020,Nov-20
10661,Limuru Health Centre,Limuru,KIAMBU,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,07/06/2020,Jul-20,10661,10661,07/06/2020,Jul-20
10661,Limuru Health Centre,Limuru,KIAMBU,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/07/2021,Jun-21,10661,10661,06/07/2021,Jun-21
10661,Limuru Health Centre,Limuru,KIAMBU,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,02/16/2021,Feb-21,10661,10661,02/16/2021,Feb-21
10672,Maina Village Dispensary,Laikipia West,LAIKIPIA,AFYA NYOTA YA BONDE,USAID,Both Care & Treatment + PKV(MPI) uploaded,04/01/2021,Apr-21,10672,10672,04/01/2021,Apr-21
10672,Maina Village Dispensary,Laikipia West,LAIKIPIA,AFYA NYOTA YA BONDE,USAID,Both Care & Treatment + PKV(MPI) uploaded,11/03/2020,Nov-20,10672,10672,11/03/2020,Nov-20
10672,Maina Village Dispensary,Laikipia West,LAIKIPIA,AFYA NYOTA YA BONDE,USAID,Only Care & Treatment Uploaded,09/01/2020,Sep-20,10672,NULL,NULL,NULL
10672,Maina Village Dispensary,Laikipia West,LAIKIPIA,AFYA NYOTA YA BONDE,USAID,Only Care & Treatment Uploaded,06/03/2020,Jun-20,10672,NULL,NULL,NULL
10672,Maina Village Dispensary,Laikipia West,LAIKIPIA,AFYA NYOTA YA BONDE,USAID,Both Care & Treatment + PKV(MPI) uploaded,08/04/2020,Aug-20,10672,10672,08/04/2020,Aug-20
10672,Maina Village Dispensary,Laikipia West,LAIKIPIA,AFYA NYOTA YA BONDE,USAID,Both Care & Treatment + PKV(MPI) uploaded,03/01/2021,Mar-21,10672,10672,03/01/2021,Mar-21
10672,Maina Village Dispensary,Laikipia West,LAIKIPIA,AFYA NYOTA YA BONDE,USAID,Both Care & Treatment + PKV(MPI) uploaded,05/04/2021,May-21,10672,10672,05/04/2021,May-21
10672,Maina Village Dispensary,Laikipia West,LAIKIPIA,AFYA NYOTA YA BONDE,USAID,Only Care & Treatment Uploaded,07/04/2020,Jul-20,10672,NULL,NULL,NULL
10672,Maina Village Dispensary,Laikipia West,LAIKIPIA,AFYA NYOTA YA BONDE,USAID,Both Care & Treatment + PKV(MPI) uploaded,02/02/2021,Feb-21,10672,10672,02/02/2021,Feb-21
10672,Maina Village Dispensary,Laikipia West,LAIKIPIA,AFYA NYOTA YA BONDE,USAID,Both Care & Treatment + PKV(MPI) uploaded,06/03/2021,Jun-21,10672,10672,06/03/2021,Jun-21
10672,Maina Village Dispensary,Laikipia West,LAIKIPIA,AFYA NYOTA YA BONDE,USAID,Both Care & Treatment + PKV(MPI) uploaded,10/05/2020,Oct-20,10672,10672,10/05/2020,Oct-20
10672,Maina Village Dispensary,Laikipia West,LAIKIPIA,AFYA NYOTA YA BONDE,USAID,Only Care & Treatment Uploaded,01/04/2021,Jan-21,10672,NULL,NULL,NULL
10672,Maina Village Dispensary,Laikipia West,LAIKIPIA,AFYA NYOTA YA BONDE,USAID,Only Care & Treatment Uploaded,12/04/2020,Dec-20,10672,NULL,NULL,NULL
10674,Makuyu Health Centre,muranga south,MURANG'A,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,09/10/2020,Sep-20,10674,NULL,NULL,NULL
10674,Makuyu Health Centre,muranga south,MURANG'A,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,02/03/2021,Feb-21,10674,NULL,NULL,NULL
10674,Makuyu Health Centre,muranga south,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,03/03/2021,Mar-21,10674,10674,03/03/2021,Mar-21
10674,Makuyu Health Centre,muranga south,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,05/03/2021,May-21,10674,10674,05/03/2021,May-21
10674,Makuyu Health Centre,muranga south,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/17/2020,Jun-20,10674,10674,06/17/2020,Jun-20
10674,Makuyu Health Centre,muranga south,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,04/01/2021,Apr-21,10674,10674,04/01/2021,Apr-21
10674,Makuyu Health Centre,muranga south,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/02/2021,Jun-21,10674,10674,06/02/2021,Jun-21
10674,Makuyu Health Centre,muranga south,MURANG'A,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,11/10/2020,Nov-20,10674,NULL,NULL,NULL
10686,Maragua District Hospital,muranga south,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,04/01/2021,Apr-21,10686,10686,04/01/2021,Apr-21
10686,Maragua District Hospital,muranga south,MURANG'A,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,09/09/2020,Sep-20,10686,NULL,NULL,NULL
10686,Maragua District Hospital,muranga south,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,10/02/2020,Oct-20,10686,10686,10/02/2020,Oct-20
10686,Maragua District Hospital,muranga south,MURANG'A,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,11/20/2020,Nov-20,10686,NULL,NULL,NULL
10686,Maragua District Hospital,muranga south,MURANG'A,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,03/02/2021,Mar-21,10686,NULL,NULL,NULL
10686,Maragua District Hospital,muranga south,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/02/2021,Jun-21,10686,10686,06/02/2021,Jun-21
10686,Maragua District Hospital,muranga south,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,05/03/2021,May-21,10686,10686,05/03/2021,May-21
10686,Maragua District Hospital,muranga south,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,01/06/2021,Jan-21,10686,10686,01/06/2021,Jan-21
10686,Maragua District Hospital,muranga south,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,12/09/2020,Dec-20,10686,10686,12/09/2020,Dec-20
10686,Maragua District Hospital,muranga south,MURANG'A,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,02/04/2021,Feb-21,10686,NULL,NULL,NULL
10687,Maragua Ridge Health Centre,muranga south,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,08/12/2020,Aug-20,10687,10687,08/12/2020,Aug-20
10687,Maragua Ridge Health Centre,muranga south,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/02/2021,Jun-21,10687,10687,06/02/2021,Jun-21
10687,Maragua Ridge Health Centre,muranga south,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,05/05/2021,May-21,10687,10687,05/05/2021,May-21
10687,Maragua Ridge Health Centre,muranga south,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,03/03/2021,Mar-21,10687,10687,03/03/2021,Mar-21
10687,Maragua Ridge Health Centre,muranga south,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,04/02/2021,Apr-21,10687,10687,04/02/2021,Apr-21
10687,Maragua Ridge Health Centre,muranga south,MURANG'A,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,06/03/2020,Jun-20,10687,NULL,NULL,NULL
10687,Maragua Ridge Health Centre,muranga south,MURANG'A,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,11/10/2020,Nov-20,10687,NULL,NULL,NULL
10687,Maragua Ridge Health Centre,muranga south,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,10/08/2020,Oct-20,10687,10687,10/08/2020,Oct-20
10687,Maragua Ridge Health Centre,muranga south,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,02/04/2021,Feb-21,10687,10687,02/04/2021,Feb-21
10687,Maragua Ridge Health Centre,muranga south,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,12/08/2020,Dec-20,10687,10687,12/08/2020,Dec-20
10687,Maragua Ridge Health Centre,muranga south,MURANG'A,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,07/13/2020,Jul-20,10687,NULL,NULL,NULL
10687,Maragua Ridge Health Centre,muranga south,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,09/03/2020,Sep-20,10687,10687,09/03/2020,Sep-20
10687,Maragua Ridge Health Centre,muranga south,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,01/13/2021,Jan-21,10687,10687,01/13/2021,Jan-21
10693,Kijabe (AIC) Hospital Marira Medical Clinic,Lari,KIAMBU,CHAK CHAP UZIMA,CDC,Only Care & Treatment Uploaded,05/06/2021,May-21,10693,NULL,NULL,NULL
10693,Kijabe (AIC) Hospital Marira Medical Clinic,Lari,KIAMBU,CHAK CHAP UZIMA,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/07/2021,Jun-21,10693,10693,06/07/2021,Jun-21
10693,Kijabe (AIC) Hospital Marira Medical Clinic,Lari,KIAMBU,CHAK CHAP UZIMA,CDC,Only Care & Treatment Uploaded,11/04/2020,Nov-20,10693,NULL,NULL,NULL
10693,Kijabe (AIC) Hospital Marira Medical Clinic,Lari,KIAMBU,CHAK CHAP UZIMA,CDC,Only Care & Treatment Uploaded,10/06/2020,Oct-20,10693,NULL,NULL,NULL
10693,Kijabe (AIC) Hospital Marira Medical Clinic,Lari,KIAMBU,CHAK CHAP UZIMA,CDC,Only Care & Treatment Uploaded,06/02/2020,Jun-20,10693,NULL,NULL,NULL
10693,Kijabe (AIC) Hospital Marira Medical Clinic,Lari,KIAMBU,CHAK CHAP UZIMA,CDC,Only Care & Treatment Uploaded,03/05/2021,Mar-21,10693,NULL,NULL,NULL
10693,Kijabe (AIC) Hospital Marira Medical Clinic,Lari,KIAMBU,CHAK CHAP UZIMA,CDC,Only Care & Treatment Uploaded,01/07/2021,Jan-21,10693,NULL,NULL,NULL
10693,Kijabe (AIC) Hospital Marira Medical Clinic,Lari,KIAMBU,CHAK CHAP UZIMA,CDC,Only Care & Treatment Uploaded,07/05/2020,Jul-20,10693,NULL,NULL,NULL
10693,Kijabe (AIC) Hospital Marira Medical Clinic,Lari,KIAMBU,CHAK CHAP UZIMA,CDC,Only Care & Treatment Uploaded,04/09/2021,Apr-21,10693,NULL,NULL,NULL
10693,Kijabe (AIC) Hospital Marira Medical Clinic,Lari,KIAMBU,CHAK CHAP UZIMA,CDC,Only Care & Treatment Uploaded,08/06/2020,Aug-20,10693,NULL,NULL,NULL
10693,Kijabe (AIC) Hospital Marira Medical Clinic,Lari,KIAMBU,CHAK CHAP UZIMA,CDC,Only Care & Treatment Uploaded,09/04/2020,Sep-20,10693,NULL,NULL,NULL
10693,Kijabe (AIC) Hospital Marira Medical Clinic,Lari,KIAMBU,CHAK CHAP UZIMA,CDC,Only Care & Treatment Uploaded,02/08/2021,Feb-21,10693,NULL,NULL,NULL
10698,Mary Help of The Sick Hospital,Thika Town,KIAMBU,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,09/17/2020,Sep-20,10698,10698,09/17/2020,Sep-20
10698,Mary Help of The Sick Hospital,Thika Town,KIAMBU,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,03/09/2021,Mar-21,10698,10698,03/09/2021,Mar-21
10698,Mary Help of The Sick Hospital,Thika Town,KIAMBU,UON CRISSP PLUS,CDC,Only Care & Treatment Uploaded,04/22/2021,Apr-21,10698,NULL,NULL,NULL
10698,Mary Help of The Sick Hospital,Thika Town,KIAMBU,UON CRISSP PLUS,CDC,Only Care & Treatment Uploaded,02/09/2021,Feb-21,10698,NULL,NULL,NULL
10698,Mary Help of The Sick Hospital,Thika Town,KIAMBU,UON CRISSP PLUS,CDC,Only Care & Treatment Uploaded,05/07/2021,May-21,10698,NULL,NULL,NULL
10698,Mary Help of The Sick Hospital,Thika Town,KIAMBU,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,10/05/2020,Oct-20,10698,10698,10/05/2020,Oct-20
10698,Mary Help of The Sick Hospital,Thika Town,KIAMBU,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/04/2021,Jun-21,10698,10698,06/04/2021,Jun-21
10698,Mary Help of The Sick Hospital,Thika Town,KIAMBU,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,08/10/2020,Aug-20,10698,10698,08/10/2020,Aug-20
10700,Mary Immaculate Hospital (Nyeri North),Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,08/12/2020,Aug-20,10700,10700,08/12/2020,Aug-20
10700,Mary Immaculate Hospital (Nyeri North),Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,01/08/2021,Jan-21,10700,10700,01/08/2021,Jan-21
10700,Mary Immaculate Hospital (Nyeri North),Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,02/02/2021,Feb-21,10700,10700,02/02/2021,Feb-21
10700,Mary Immaculate Hospital (Nyeri North),Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,04/01/2021,Apr-21,10700,10700,04/01/2021,Apr-21
10700,Mary Immaculate Hospital (Nyeri North),Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,03/02/2021,Mar-21,10700,NULL,NULL,NULL
10700,Mary Immaculate Hospital (Nyeri North),Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,12/09/2020,Dec-20,10700,NULL,NULL,NULL
10700,Mary Immaculate Hospital (Nyeri North),Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,11/03/2020,Nov-20,10700,NULL,NULL,NULL
10700,Mary Immaculate Hospital (Nyeri North),Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,06/08/2020,Jun-20,10700,NULL,NULL,NULL
10700,Mary Immaculate Hospital (Nyeri North),Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,07/03/2020,Jul-20,10700,10700,07/03/2020,Jul-20
10700,Mary Immaculate Hospital (Nyeri North),Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,05/03/2021,May-21,10700,10700,05/03/2021,May-21
10700,Mary Immaculate Hospital (Nyeri North),Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/03/2021,Jun-21,10700,10700,06/03/2021,Jun-21
10700,Mary Immaculate Hospital (Nyeri North),Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,09/02/2020,Sep-20,10700,10700,09/02/2020,Sep-20
10700,Mary Immaculate Hospital (Nyeri North),Kieni West,NYERI,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,10/07/2020,Oct-20,10700,10700,10/07/2020,Oct-20
10732,Mirangine Health Centre,Olkalou,NYANDARUA,AFYA JIJINI,USAID,Both Care & Treatment + PKV(MPI) uploaded,10/02/2020,Oct-20,10732,10732,10/02/2020,Oct-20
10732,Mirangine Health Centre,Olkalou,NYANDARUA,AFYA JIJINI,USAID,Only Care & Treatment Uploaded,06/09/2021,Jun-21,10732,NULL,NULL,NULL
10732,Mirangine Health Centre,Olkalou,NYANDARUA,AFYA JIJINI,USAID,Both Care & Treatment + PKV(MPI) uploaded,06/15/2020,Jun-20,10732,10732,06/15/2020,Jun-20
10732,Mirangine Health Centre,Olkalou,NYANDARUA,AFYA JIJINI,USAID,Only Care & Treatment Uploaded,09/13/2020,Sep-20,10732,NULL,NULL,NULL
10733,Mitubiri Health Centre,Gatanga,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,05/04/2021,May-21,10733,10733,05/04/2021,May-21
10733,Mitubiri Health Centre,Gatanga,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,04/01/2021,Apr-21,10733,10733,04/01/2021,Apr-21
10733,Mitubiri Health Centre,Gatanga,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,03/03/2021,Mar-21,10733,10733,03/03/2021,Mar-21
10733,Mitubiri Health Centre,Gatanga,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,11/02/2020,Nov-20,10733,10733,11/02/2020,Nov-20
10733,Mitubiri Health Centre,Gatanga,MURANG'A,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,07/06/2020,Jul-20,10733,NULL,NULL,NULL
10733,Mitubiri Health Centre,Gatanga,MURANG'A,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,09/30/2020,Sep-20,10733,NULL,NULL,NULL
10733,Mitubiri Health Centre,Gatanga,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/01/2021,Jun-21,10733,10733,06/01/2021,Jun-21
10733,Mitubiri Health Centre,Gatanga,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,12/11/2020,Dec-20,10733,10733,12/11/2020,Dec-20
10733,Mitubiri Health Centre,Gatanga,MURANG'A,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,02/04/2021,Feb-21,10733,10733,02/04/2021,Feb-21
10733,Mitubiri Health Centre,Gatanga,MURANG'A,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,01/04/2021,Jan-21,10733,NULL,NULL,NULL
10733,Mitubiri Health Centre,Gatanga,MURANG'A,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,06/04/2020,Jun-20,10733,NULL,NULL,NULL
10733,Mitubiri Health Centre,Gatanga,MURANG'A,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,08/10/2020,Aug-20,10733,NULL,NULL,NULL
10738,Mt Kenya (ACK) Hospital,Kirinyaga Central,KIRINYAGA,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/22/2020,Jun-20,10738,10738,06/22/2020,Jun-20
10738,Mt Kenya (ACK) Hospital,Kirinyaga Central,KIRINYAGA,UON CRISSP PLUS,CDC,Only Care & Treatment Uploaded,04/28/2021,Apr-21,10738,NULL,NULL,NULL
10738,Mt Kenya (ACK) Hospital,Kirinyaga Central,KIRINYAGA,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,05/04/2021,May-21,10738,10738,05/04/2021,May-21
10738,Mt Kenya (ACK) Hospital,Kirinyaga Central,KIRINYAGA,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,07/09/2020,Jul-20,10738,10738,07/09/2020,Jul-20
10738,Mt Kenya (ACK) Hospital,Kirinyaga Central,KIRINYAGA,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,09/14/2020,Sep-20,10738,10738,09/14/2020,Sep-20
10738,Mt Kenya (ACK) Hospital,Kirinyaga Central,KIRINYAGA,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,03/11/2021,Mar-21,10738,10738,03/11/2021,Mar-21
10738,Mt Kenya (ACK) Hospital,Kirinyaga Central,KIRINYAGA,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,11/13/2020,Nov-20,10738,10738,11/13/2020,Nov-20
10738,Mt Kenya (ACK) Hospital,Kirinyaga Central,KIRINYAGA,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,02/18/2021,Feb-21,10738,10738,02/18/2021,Feb-21
10738,Mt Kenya (ACK) Hospital,Kirinyaga Central,KIRINYAGA,UON CRISSP PLUS,CDC,Only Care & Treatment Uploaded,01/21/2021,Jan-21,10738,NULL,NULL,NULL
10738,Mt Kenya (ACK) Hospital,Kirinyaga Central,KIRINYAGA,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,10/15/2020,Oct-20,10738,10738,10/15/2020,Oct-20
10738,Mt Kenya (ACK) Hospital,Kirinyaga Central,KIRINYAGA,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/04/2021,Jun-21,10738,10738,06/04/2021,Jun-21
10738,Mt Kenya (ACK) Hospital,Kirinyaga Central,KIRINYAGA,UON CRISSP PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,08/14/2020,Aug-20,10738,10738,08/14/2020,Aug-20
10739,Mt Kenya Sub-County Hospital,Nyeri Central,NYERI,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,11/02/2020,Nov-20,10739,10739,11/02/2020,Nov-20
10739,Mt Kenya Sub-County Hospital,Nyeri Central,NYERI,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,10/08/2020,Oct-20,10739,NULL,NULL,NULL
10739,Mt Kenya Sub-County Hospital,Nyeri Central,NYERI,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,05/03/2021,May-21,10739,10739,05/03/2021,May-21
10739,Mt Kenya Sub-County Hospital,Nyeri Central,NYERI,CHS TEGEMEZA PLUS,CDC,Both Care & Treatment + PKV(MPI) uploaded,01/05/2021,Jan-21,10739,10739,01/05/2021,Jan-21
10739,Mt Kenya Sub-County Hospital,Nyeri Central,NYERI,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,03/03/2021,Mar-21,10739,NULL,NULL,NULL
10739,Mt Kenya Sub-County Hospital,Nyeri Central,NYERI,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,08/02/2020,Aug-20,10739,NULL,NULL,NULL
10739,Mt Kenya Sub-County Hospital,Nyeri Central,NYERI,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,07/01/2020,Jul-20,10739,NULL,NULL,NULL
10739,Mt Kenya Sub-County Hospital,Nyeri Central,NYERI,CHS TEGEMEZA PLUS,CDC,Only Care & Treatment Uploaded,06/05/2020,Jun-20,10739,NULL,NULL,NULL
